# 1. Suppose there are incompatibility conditioning genes S and Z,,,,,,,,
"# 2. Two genes could have alleles S1, S2, S3, S4… and Z1, Z2, Z3, Z4,…",,,,,,,,
"# 3.In SSI system, dominance relation holds: S1>S2>S3… and Z1>Z2>Z3",,,,,,,,
,,,,,,,,
,,,,,,,,
Cross,Male parent,Female parent,Pollen gamete,Gametophytic_Reaction,Gametophytic_Progenies,Sporophytic_Pollen functional type,Sporophytic_Reaction,Sporophytic_Progenies
1,S1S2,S1S2,S1,Incompatible,-,S1,Incompatible,-
1,S1S2,S1S2,S2,Incompatible,-,S1,Incompatible,-
2,S1S2,S2S3,S1,Compatible,"S1S2, S1S3",S1,Compatible,"S1S2, S1S3"
2,S1S2,S2S3,S2,Incompatible,-,S1,Compatible,"S2S2, S2S3"
3,S1S2Z1Z2,S1S2Z1Z2,S1Z1,Incompatible,,S1Z1,Incompatible,
3,S1S2Z1Z2,S1S2Z1Z2,S1Z2,Incompatible,,S1Z1,Incompatible,
3,S1S2Z1Z2,S1S2Z1Z2,S2Z1,Incompatible,,S1Z1,Incompatible,
3,S1S2Z1Z2,S1S2Z1Z2,S2Z2,Incompatible,,S1Z1,Incompatible,
4,S1S2Z1Z3,S1S2Z1Z2,S1Z1,Incompatible,,S1Z1,Incompatible,
4,S1S2Z1Z3,S1S2Z1Z2,S1Z3,Compatible,,S1Z1,Incompatible,
4,S1S2Z1Z3,S1S2Z1Z2,S2Z1,Incompatible,,S1Z1,Incompatible,
4,S1S2Z1Z3,S1S2Z1Z2,S2Z3,Compatible,,S1Z1,Incompatible,
5,S3S4Z3Z4,S1S2Z1Z2,S3Z3,Compatible,,S3Z3,Compatible,
5,S3S4Z3Z4,S1S2Z1Z2,S3Z4,Compatible,,S3Z3,Compatible,
5,S3S4Z3Z4,S1S2Z1Z2,S4Z3,Compatible,,S3Z3,Compatible,
5,S3S4Z3Z4,S1S2Z1Z2,S4Z4,Compatible,,S3Z3,Compatible,
6,S1S3Z1Z4,S1S2Z1Z2,S1Z1,Incompatible,,S1Z1,Incompatible,
6,S1S3Z1Z4,S1S2Z1Z2,S1Z4,Compatible,,S1Z1,Incompatible,
6,S1S3Z1Z4,S1S2Z1Z2,S3Z1,Compatible,,S1Z1,Incompatible,
6,S1S3Z1Z4,S1S2Z1Z2,S3Z4,Incompatible,,S1Z1,Incompatible,
7,S1S3Z2Z3,S1S2Z1Z2,S1Z2,Incompatible,,S1Z2,Incompatible,
7,S1S3Z2Z3,S1S2Z1Z2,S1Z3,Compatible,,S1Z2,Incompatible,
7,S1S3Z2Z3,S1S2Z1Z2,S3Z2,Compatible,,S1Z2,Incompatible,
7,S1S3Z2Z3,S1S2Z1Z2,S3Z3,Compatible,,S1Z2,Incompatible,
8,S1S3Z2Z3,S1S2Z1Z3,S1Z2,Compatible,,S1Z2,Compatible,
8,S1S3Z2Z3,S1S2Z1Z3,S1Z3,Incompatible,,S1Z2,Compatible,
8,S1S3Z2Z3,S1S2Z1Z3,S3Z2,Compatible,,S1Z2,Compatible,
8,S1S3Z2Z3,S1S2Z1Z3,S3Z3,Compatible,,S1Z2,Compatible,
