,Bijay,Swargadwari,WK-1204,Aditya,Gautam,Tilottama,HD-2967,Mayil,Borlaug-100,BL-4341
Bijay,94,101,98,95,65,58,72,90,63,83
Swargadwari,101,102,83,64,82,99,85,69,58,91
WK-1204,98,83,67,76,66,69,75,70,88,77
Aditya,95,64,76,79,86,79,63,74,61,73
Gautam,65,82,66,86,86,92,80,73,50,107
Tilottama,58,99,69,79,92,67,65,68,58,78
HD-2967,72,85,75,63,80,65,86,67,63,67
Mayil,90,69,70,74,73,68,67,52,58,71
Borlaug-100,63,58,88,61,50,58,63,58,52,60
BL-4341,83,91,77,73,107,78,67,71,60,75
GCA,6.9,8.4,1.9,0,3.7,-1.7,-2.7,-5.8,-13.9,3.2
