Scientific Name Common English,Local Name,IUCN Red,CITES Appendix
Name,,List Status,Status
"Species Banned for Collection, Use, Sale, Distribution, Transportation and Export",,,
Angiosperms,,,
Juglans regia Walnut,Okhar,,
Dactylorhiza hatagirea,Panch aunle,,
Picrorhiza scrophulariiflora Gentian,Kutki,,II
Species Banned for Export Except for Processed with Permission of Department of Forests,,,
Angiosperms,,,
Cinnamomum glaucescens,Sugandakokila,,
Cordyceps sinensis,Yarsagumba,,
Rauvolfia serpentina Serpentine,Sarpagandha,VU,II
Valeriana jatamansi Spike nard,Jatamansi,,
Valeriana wallichii Valerian,Sugandhawal,,
Gymnosperms,,,
Abies spetabilis Fir,Talis Patra,NT,
Taxus buccata Himlayan yew,Loth salla,EN,II
Taxus wallichiana East Himalayan yew,,,
Taxus contorta West Himalayan yew,,,
Bryophyte,,,
Parmelia spp. Lichen,Jhyau,,
"Species Banned for Harvest, Transportation and Export for Commercial Purposes",,,
Angiosperms,,,
Acacia catechu Cutch tree,Khayer,,
Bombax malabaricum Silk cotton tree,Simal,,
Dalbergia latifolia Rose wood,Satisal,VU,
Michellia champaca Magnolia,Champ,,
Pterocarpus marsupium Indian kino tree,Bijaysal,,
Shorea robusta Common sal,Sal,,
