SN Scientific Name,,Local Name,IUCN Red List,CITES
"",,,Category,Appendix
Mammals,,,,
1 Bubalus bubalis,,Asiatic wild buffalo,Endangered,I
2 Rhinoceros unicornis,,One-horned rhinoceros,Endangered,I
3 Platanista gangetica,,Gangetic dolphin,Vulnerable,I
4 Cervus duvauceli duvauceli,,Swamp deer,N/A,I
5 Lutrogale perspicillata,,Indian smooth-coated otter,N/A,N/A
6 Lutra Perspicillata,,Common otter,N/A,N/A
7 Prionailurus viverrinus,,Fishing cat,N/A,N/A
Birds,,,,
1 Rhodonessa caryophyllacea,,Pink-headed duck,Crit. Endangered,N/A
2 Leptoptilos dubius,,Greater adjutant,Endangered,N/A
3 Sypheotides indica,,Lesser florican,Endangered,N/A
4 Anas formosa,,Baikal teal,Vulnerable,N/A
5 Francolinus gularis,,Swamp francolin,Vulnerable,N/A
6 Aythya baeri,,Baer's pochard,Vulnerable,N/A
7 Pelecanus philippensis,,Grey pelican,Vulnerable,N/A
8 Grus antigone,,Sarus crane,Vulnerable,N/A
9 Rynchops albicollis,,Indian skimmer,Vulnerable,N/A
10 Grus nigricollis,,Black-necked crane,Vulnerable,N/A
11 Leptoptilos javanicus,,Lesser adjutant,Vulnerable,N/A
12 Haliaeetus leucoryphus,,Band-tailed fish-eagle,Vulnerable,N/A
Reptiles,,,,
1 Kachuga kachuga,,Red crowned river turtle,Crit. Endangered,N/A
2 Kachuga dhongoka,,Dhond roofed turtle,Endangered,N/A
3 Gravialis gangeticus,,Gharial,Endangered,N/A
4 Crocodylus palustris,,Mugger crocodile,Vulnerable,I
5 Hardella thurjii,,Crowned river turtle,Vulnerable,N/A
6 Aspideretes gangeticus,,Soft shell turtle,Vulnerable,I
7 Morenia petersi,,Indian eyed turtle,Vulnerable,N/A
8 Geoclemys hamiltonii,,Black pond turtle,Vulnerable,N/A
Amphibians,,,,
1 Hoplobatrachus tigerinus,,Bull frog,N/A,II
2 Paa rostandi (endemic to Nepal),,Mustang frog,N/A,N/A
Fishes,,,,
1 Tor putitora,,Sahar,Endangered,N/A
2 Clupisoma garuwa,,Jalkapoor,Endangered,N/A
3 Ompak bimaculatus,,J a  lkapoor,Endangered,N/A
4 Neolissocheilus hexagonolepis,,K  atle,Vulnerable,N/ A
5 Chagunius chagunio,,Rewa,Vulnerable,N/A
6 Tor tor,,Sahar,Vulnerable,N/A
7 Schizothorax plagiostomus,,Buchhe Asla,Vulnerable,N/A
8 Schizothorax richardisoni,,Asala Soal,Vulnerable,N/A
9 Schizothoraichthys progastus,,Chuche Asala,Vulnerable,N/A
10 Psilorhynchus pseudecheneis,,Tite machha,Vulnerable,N/A
11 Anguilla bengalensis,,Rajabam,Vulnerable,N/A
12 Danio rerio,,Zebra machha,Vulnerable,N/A
Insect,,,,
1 Epiophlebia laidlawi,,Himalayan Dragonfly,Vulnerable,N/A
