1,Notopterus notopterus (Pallas),116,B. dario (Hamilton)
2,Chitala chitala (Hamilton),117,B. histrionica (Blyth)
3,Anguilla bengalensis (Gray),118,B. lohachata chaudhuri
4,Neoanguilla nepalensis sp. Nov.,119,B. geto (Hamilton)
5,Moringua raitaborua (Ham),120,Neoeucirrhichthys maydelli Banarescu & Nalbant
6,Gudusia chapra (Hamilton),121,Acantophthalmus pangio (Hami)
7,G. variegate (Day),122,Semileptes gongota (Hamilton)
8,Setipinna phasa (Hamilton),123,Lepidocephalus annadalei Chaudhuri
9,Securicula gora (Hamilton),124,Lepidocephalus guntea (Hamilton)
10,Salmonstoma acinaces (Valenciennes),125,L. menon Pillai & Yazdani
11,S. bacaila (Hamilton),126,Rita rita (Hamilton)
12,S. phulo phulo (Hamilton),127,Batasio batasio (Hamilton)
13,Aspidoparia jaya (Hamilton),128,B. tengana (Hamilton)
14,A. morar (Hamilton),129,B. macronotus sp. nov. Ng & Edds
15,Barilius barila (Hamilton),130,Mystus bleekeri (Day)
16,B. barna (Hamilton),131,M. cavasius (Hamilton)
17,B. bendelisis (Hamilton),132,M. gulio (Hamilton)
18,B. radiolatus Gunther,133,M. menoda (Hamilton)
19,B. shacra (Hamilton),134,M. tengara (Hamilton)
20,B. tileo (Hamilton),135,M. vittatus (Bloch)
21,B. vagra vagra (Hamilton),136,Aorichthys aor (Hamilton)
22,B. modestus (Day),137,A. seenghala (Sykes)
23,B. bola (Hamilton),138,Ompok bimaculatus (Bloch)
24,B. guttatus (Day),139,O. pabda (Hamilton)
25,Chela cachius (Hamilton),140,O. pabo (Hamilton)
26,Chela laubuca (Hamilton),141,Wallago attu (Schneider)
27,Esomus danricus (Himilton),142,Ailia coila (Hamilton)
28,Danio aequipinnatus (McClelland),143,Pseudeutropius atherinoides (Bloch)
29,D. dangila (Hamilton),144,P. murius batarensis Shrestha
30,D. devario (Hamilton),145,Clupisoma garua (Hamilton)
31,Brachydanio. Rerio (Hamilton),146,Clupisoma montana Hora
32,Rasbora daniconius (Hamilton),147,Eutropiichthys murius (Hamilton)
33,Bengana elanga (Hamilton),148,E. vacha (Hamilyon)
34,Amblypharyngodon mola (Hamilton),149,E. goongware (Sykes)
35,A. micropelis (Bleeker),150,Silonia silonia (Hamilton)
36,Tor putitora (Hemilton),151,Pangasius pangasius (Hamilton)
37,Tor tor (Hamilton),152,Amblyceps mangois (Hamilton)
38,Tor mosal (Hamilton),153,Bagarius bagarius (Hamilton)
39,Naziritor cheilynoides (McClelland),154,B. yerrellii Sykes
40,Neolissochilus hexagonolepis,155,Gagata cenia (Hamilton)
41,Osteobrama cotio cotio (Hamilton),156,G. gagata (Hamilton)
42,O. neilli (Day),157,G. sexualis Tilak
43,"Cyclocheilichthys. Apogon (Cuvier &
Valenciennes)",158,Nangra nangra (Hamilton)
44,Chagunius chagunio (Hamilton),159,N. viridescens (Hamilton)
45,Oreichthys cosuatis (Hamilton),160,N. assamenisis Sen
46,Puntius chola (Hamilton),161,Erethistes pussilus Muller & Troschel
47,P. conchonius (Hamilton),162,Erethistoides montana montana Hora
48,P. gelius (Hamilton),163,E. ascita sp. nov. Ng & Edds
49,P. guganio (Hamilton),164,E. cavatura sp. nov. Ng & Edds
