Botanical Name,Local,Elevation Range (m),Region of Occurrence,IUCN Threat Category,Reference
Abies pindrow,Thingre salla,2100-3600,West,Rare,Press et al. (2000)
Alnus nitida,Utis,1800-2500,West-Central,Rare,Shrestha and Joshi (1996); Press et al. (2000)
Choerospondias axillaris,Lapsi,1200-1500,Central-East,Rare,Shrestha and Joshi (1996)
Cinnamomum glaucescens,Sugandhak okila,2000-2500,West-East,Rare (GON protected),Press et al. (2000)
Crataeva unilocularis,Siplikan,1200-1800,Central-East,Rare,Shrestha and Joshi (1996)
Elaeocarpus sphaericus,Rudrakchhya,650-1700,Central-East,Vulnerable,
Larix griffithiana,Dhingre sallo,1100-4000,East,Rare,
Larix himalaica,Langtang sallo,2400-3600,Central,Rare,Shrestha and Joshi (1996); Press et al. (2000)
Magnolia globosa,,3200-3400,East,Rare,Shrestha and Joshi (1996)
Michelia champaca,Champ,600-1300,Central-East,Endangered,
Michelia kisopa,Champ,1400-2800,West-East,Endangered,Shrestha and Joshi (1996); Press et al. (2000)
Olea ferruginea,Olive tree,500-2600,West,Rare,Shrestha and Joshi (1996)
Oroxylum indicum,Tatelo,200-1400,West-East,Vulnerable,Shrestha and Joshi (1996);
Podocarpus neriifolius,Gunsi,800-1500,Central-East,Endangered; CITES Appendix III,Press et al. (2000)
Talauma hodgsonii,Bhalu kath,900-1800,Central-East,Endangered; CITES III,Shrestha and Joshi (1996); Press et al. (2000)
Taxus wallichiana,Lauth sallo,,,CITES II,Press et al. (2000)
Tetracentron sinense,,2150-3200,East,Rare; CITES III,Shrestha and Joshi (1996)
Ulmus wallichiana,,1800-3000,West-Central,Rare/ Endangered,
