# Genetics and Plant Breeding question,,,,,,,,,,,,,,,,
SN,University,Subject,Exam_form,Level_semester,Exam_type,Question_type,Year,Question,Data_col1,Data_col2,Data_col3,Data_col4,Data_col5,Data_col6,Data_col7,Data_col8
1,TU,Genetics of population,"Theory, Finals",5,Regular,Essay,2074,What do you mean by recombinant DNA technology ?,,,,,,,,
2,TU,Genetics of population,"Theory, Finals",5,Regular,Short,2074,What do you understand by PCR ? Explain briefly.,,,,,,,,
3,TU,Genetics of population,"Theory, Finals",5,Regular,Short,2074,What is multiple factor hypothesis ? Explain in brief.,,,,,,,,
4,TU,Genetics of population,"Theory, Finals",5,Regular,Short,2074,Write the significance of restriction enzymes.,,,,,,,,
5,TU,Genetics of population,"Theory, Finals",5,Regular,Short,2074,"Differentiate southern, northern and western blotting",,,,,,,,
6,TU,Genetics of population,"Theory, Finals",5,Regular,Short,2074,Differentiate maternal effect from maternal inheritance with example.,,,,,,,,
7,TU,Genetics of population,"Theory, Finals",5,Regular,Short,2074,Write about most accepted chromosome model.,,,,,,,,
8,TU,Genetics of population,"Theory, Finals",5,Regular,Short,2074,Explain in brief about Johansen's pureline theory,,,,,,,,
9,TU,Genetics of population,"Theory, Finals",5,Regular,Short,2074,What do you mean by heterosis and inbreeding depression?,,,,,,,,
10,TU,Genetics of population,"Theory, Finals",5,Regular,Short,2074,Explain one gene one polypeptide hypothesis.,,,,,,,,
11,TU,Genetics of population,"Theory, Finals",5,Regular,Short,2074,Illustrate Hardy-Weinberg equilibrium. What factors affect this equilibrium?,,,,,,,,
12,TU,Genetics of population,"Theory, Finals",5,Regular,Short,2074,Write short notes on: a. Immunogenetics b. Cancer,,,,,,,,
13,TU,Introductory biotechnology and biodiversity,"Theory, Finals",7,Regular,Essay,2075,Define genetic engineering. Mention its applications in the field of agriculture with suitable examples.,,,,,,,,
14,TU,Introductory biotechnology and biodiversity,"Theory, Finals",7,Regular,Short,2075,What is agricultural biotechnology ? Explain in brief about the future scope of agricultural biotechnology in Nepal.,,,,,,,,
15,TU,Introductory biotechnology and biodiversity,"Theory, Finals",7,Regular,Short,2075,What are restriction enzymes ? Explain their types with suitable examples.,,,,,,,,
16,TU,Introductory biotechnology and biodiversity,"Theory, Finals",7,Regular,Short,2075,Explain in brief different types of tissue culture techniques applied in improving agricultural crops.,,,,,,,,
17,TU,Introductory biotechnology and biodiversity,"Theory, Finals",7,Regular,Short,2075,Mention the applications of embryo culture in agricultural crops.,,,,,,,,
18,TU,Introductory biotechnology and biodiversity,"Theory, Finals",7,Regular,Short,2075,How somatic hybrid and cybrid are produced ? Present with help of suitable figures.,,,,,,,,
19,TU,Introductory biotechnology and biodiversity,"Theory, Finals",7,Regular,Short,2075,How the target gene(s) of interest is/are transferred into crop plants ? Explain,,,,,,,,
20,TU,Introductory biotechnology and biodiversity,"Theory, Finals",7,Regular,Short,2075,Differentiate between vector and plasmid. Enlist and explain in brief about gene cloning vectors.,,,,,,,,
21,TU,Introductory biotechnology and biodiversity,"Theory, Finals",7,Regular,Short,2075,What do you mean by wild diversity ? How is it applied in improving agricultural crops ?,,,,,,,,
22,TU,Introductory biotechnology and biodiversity,"Theory, Finals",7,Regular,Short,2075,Define patent. Explain its requirements and patenting procedure.,,,,,,,,
23,TU,Introductory biotechnology and biodiversity,"Theory, Finals",7,Regular,Short,2075,Briefly mention the current practices that are being carried out in conserving the biodiversity.,,,,,,,,
24,TU,Introductory biotechnology and biodiversity,"Theory, Finals",7,Regular,Short,2075,Write short notes on: a. Environmental biotechnology b. Scope of biodiversity,,,,,,,,
25,AFU,Molecular and population genetics,"Theory, Finals",5,Regular,Medium,2074,What is gene ? Explain in brief about one gene one polypeptide hypothesis.,,,,,,,,
26,AFU,Molecular and population genetics,"Theory, Finals",5,Regular,Medium,2074,What is restriction enzyme ? Explain its types with examples.,,,,,,,,
27,AFU,Molecular and population genetics,"Theory, Finals",5,Regular,Medium,2074,Explain about the different steps to form recombinant DNA in brief.,,,,,,,,
28,AFU,Molecular and population genetics,"Theory, Finals",5,Regular,Medium,2074,What are the three steps of reactions in PCR ? Explain them in brief..,,,,,,,,
29,AFU,Molecular and population genetics,"Theory, Finals",5,Regular,Medium,2074,How is genetic engineering applied in crop improvement ? Explain.,,,,,,,,
30,AFU,Molecular and population genetics,"Theory, Finals",5,Regular,Medium,2074,What do you mean by G x E interaction ? Write its significance in plant breeding.,,,,,,,,
31,AFU,Molecular and population genetics,"Theory, Finals",5,Regular,Medium,2074,Explain in brief about the mode of natural selection.,,,,,,,,
32,AFU,Molecular and population genetics,"Theory, Finals",5,Regular,Medium,2074,Define heterosis. Explain its theories in brief.,,,,,,,,
33,AFU,Molecular and population genetics,"Theory, Finals",5,Regular,Medium,2074,Why is heritability important in plant breeding ? Explain about its different estimation methods.,,,,,,,,
34,AFU,Molecular and population genetics,"Theory, Finals",5,Regular,Medium,2074,Explain briefly about inheritance of corolla length in Nicotiana longiflora and correlate it to the continuous variation.,,,,,,,,
35,AFU,Molecular and population genetics,"Theory, Finals",5,Regular,Medium,2074,Write short notes on (any two): a. Chi-square test b. Genetic load and genetic death c. Combining ability,,,,,,,,
36,TU,Introductory plant breeding,"Theory, Finals",4,Regular,Essay,2067,"There is a wheat variety which is very good in terms of yield and other performances. It lacks trait, for instance, say disease resistance. A local landrace with recessive resistance is found. How do you incorporate it in the above wheat variety which is otherwise good ?",,,,,,,,
37,TU,Introductory plant breeding,"Theory, Finals",4,Regular,Short,2067,"What is hybridization ? Describe the steps involved in hybridization, in brief.",,,,,,,,
38,TU,Introductory plant breeding,"Theory, Finals",4,Regular,Short,2067,"In a random mating poulation containing 100 individuals, 25 are recessive genotypes. Find gene and genotypic frequencies for the trait in the population.",,,,,,,,
39,TU,Introductory plant breeding,"Theory, Finals",4,Regular,Short,2067,How are haploids/monoploids produced and utilized in plant breeding ?,,,,,,,,
40,TU,Introductory plant breeding,"Theory, Finals",4,Regular,Short,2067,"From a random mating population with mean of 200 units, individuals with mean of 260 are selected to be the parents of the next generation. If the heritability of the trait is 0.6, what is your expected mean in the next generation ?",,,,,,,,
41,TU,Introductory plant breeding,"Theory, Finals",4,Regular,Short,2067,Outline the production of double cross hybrids using cytoplasmic-genetic male sterility.,,,,,,,,
42,TU,Introductory plant breeding,"Theory, Finals",4,Regular,Short,2067,"From the following data, calculate heterosis, average heterosis and economic heterosis for grain yield of a wheat hybrid.",\begin{data}{42},,,,,,,
43,TU,Introductory plant breeding,"Theory, Finals",4,Regular,Short,2067,What is multiple factor hypothesis ? Explain it on the basis of seed color in wheat.,Parents,Grain yield (t/ha),,,,,,
44,TU,Introductory plant breeding,"Theory, Finals",4,Regular,Short,2067,Write short notes on (any three): a. Center of origin b. Self incompatibility c. Chemical hybridizing agents d. Plant breeders' rights,A,6.6,,,,,,
45,TU,Introductory plant breeding,"Theory, Finals",4,Regular,Short,2067,Differentiate between (any three): a. Inbreeders and outbreeders b. Race and pathotype c. Hybrids and synthetics d. Breeder's and certified seeds,B,4.2,,,,,,
46,TU,Introductory plant breeding,"Theory, Finals",4,Regular,Short,2067,What are the breeding objectives for rice ? Discuss.,F_1(AxB),8.5,,,,,,
